"id","question_code","answer","comment","first_label","second_label"
"LOC217","ATMSG-Suggestion","Maybe there could be added some intuition about the north gods and their relationship to each other and what they stand for because if the user does not know about there, he will not understand many of the details in the conversations which can be confusing. This could improve the understanding of the game hugely, especially because the target group would probably have few to zero pre knowledge on the topic, so they will be less confused about why the vikings act like they do in the game.","(misunderstood question)",,
"LOC217","Comment","I think the study does well in making it more conscious how we learn through a game but also how we learn at all. I personally find it useful to be done because the results can lead to new efficient ways to teach someone something, which is great.  I understand that the study is not even near finished but I feel like there needs to be improvement with the templates because I found them bothersome to use, although I don't know how to improve them. ","Templates for both models need improvement","ExplanationsNotGood","ExplanationsNotGood"
"LOC217","Comparison01-EasierUnderstand","LM-GM is easier to understand because I was able to do it more or less properly without seeing an example. I found the SGADM impossible to be done without a lot of explanation/examples.","LMGM was easier to understand even without example. ATMSG has a steep learning curve","LMGMSimpler, ATMSGHigherLearningCurve","LMGMSimpler, ATMSGHigherLearningCurve"
"LOC217","Comparison02-EasierApply","LM-GM is easier to apply because it is easier to understand and much more selfexplaining, which leads to it being more natural to use. SGADM is not natural to apply at all, so it is much harder.",,"LMGMSimpler, ATMSGHigherLearningCurve","LMGMSimpler, ATMSGHigherLearningCurve"
"LOC217","Comparison03-BetterUnderstanding","I found LM-GM to be better for learning characteristics because it focuses on this much better and is more direct.  On the other hand SGADM is better at giving the idea of for whom the game is designed for and how the game aspects are going to work with targetgroup. The targetgroup aspect lacks a bit in LM-GM which is huge mistake because it is a  very important aspect. All in all, they both have their advantages and disadvantages and I found both to be needed and none of them is much superior to the other.","LMGM is more direct, but ATMSG helps analyzing the target group. LMGM lacks analyzing target group.","LMGMMoreFocused, ATMSGMoreComplete, ATMSGHasTargetGroup","LMGMMoreFocused, ATMSGMoreDetailed, ATMSGHasTargetGroup"
"LOC217","LMGM-Perception","It changed a bit. I understand better how and why the elements were implemented in the way they were. The problems I have with the game are more on the surface of the game like interface and design, which are bad so the understanding the methodology better couldn't change this. But my perception of the content aspect of the game improved because I actively understand the thoughts behind it better. ","lmgm gave understanding of learning possibilities of games","LMGMHelpful","LMGMHelpful"
"LOC217","LMGM-Suggestion","- The interface has to be improved.  An AI that always competes with The users could be implemented to improve The competition aspect. - There really needs to be a (better) tutorial/instruction system because The current one can hardly be called one and is just bothersome and confusing.","(misunderstood question)",,
"LOC218","ATMSG-Perception","The analysis helps understanding what the game want to interfere. The game becomes more attractive for me due to the fact that after analyzing the gaming and learning elements. My allocation of the several methodologies obviously improved by this experiment.","ATMSG helped them analyze better the pedagogical aspects","ATMSGHelpful","ATMSGHelpful"
"LOC218","ATMSG-Suggestion","--no suggestions",,,
"LOC218","Comment",,,,
"LOC218","Comparison01-EasierUnderstand","At first with both methodologies the analysis were cumbersome and not so easy to understand, but after catching the methodologies it was easier. For me LM-GM was easier to understand because it was clearer and not so detailed like the SGADM. ","LMGM is simpler, ATMSG is more detailed. At first both models are hard to understand but get easier with time.","LMGMSimpler","LMGMSimpler"
"LOC218","Comparison02-EasierApply","  The LM-GM methodology was easier to apply due the fact that it is not so much detailed like the   SGADM methodology. In the SGADM methodology I was not sure what I actually have to do, so I    was insecure of my adaption. ","LMGM is simpler, with ATMSG it was not always clear what one has to do.","LMGMSimpler, ATMSGHard","LMGMSimpler, ATMSGHard"
"LOC218","Comparison03-BetterUnderstanding","Through the SGADM methodology I understand the game much better. The LM-GM methodology was not so detailed with information  like the SGADM. For that reason the SGADM methodology gave me a much better understanding of the characteristics.","LMGM is simpler, but ATMSG gave a better understanding of the game","ATMSGBetterUnderstanding, ATMSGMoreDetailed, LMGMSimpler","ATMSGBetterUnderstanding, ATMSGMoreDetailed, LMGMSimpler"
"LOC218","LMGM-Perception","Yes, after using the methodology I recognized that there is a learning effect for children, not on a high level but on an easy way.","lmgm gave understanding of learning possibilities of games","LMGMHelpful","LMGMHelpful"
"LOC218","LMGM-Suggestion",,,,
"LOC219","ATMSG-Perception","No",,,
"LOC219","ATMSG-Suggestion","There should be also a paper which explain the different Parts and give examples for the topics","Suggests better explanations for ATMSG. ATMSG can be complicated.","ATMSGNeedsSimplifying, ATMSGNeedsExplanation","ATMSGNeedsSimplifying, ATMSGNeedsExplanation"
"LOC219","Comment",,,,
"LOC219","Comparison01-EasierUnderstand","LM-GM was easier to understand, because you have one structure which always can be used","LMGM is simpler","LMGMSimpler","LMGMSimpler"
"LOC219","Comparison02-EasierApply","LM-GM is easier to use, because there are many points given, so that you think automatically about much more things than using SGADM. ","LMGM is easier and has many points, so it invites more thinking than ATMSG.","LMGMSimpler, LMGMInvitesMoreThinking","LMGMSimpler, LMGMInvitesMoreThinking"
"LOC219","Comparison03-BetterUnderstanding","LM-GM makes me more thinking of the game, because of the different Learning und Game Mechanics which are given. As a result a think that LM-GM gives me a better understanding of the game.","LMGM makes one think more deeply about game aspects","LMGMInvitesMoreThinking","LMGMInvitesMoreThinking"
"LOC219","LMGM-Perception","No",,,
"LOC219","LMGM-Suggestion","No",,,
"LOC220","ATMSG-Perception","No",,,
"LOC220","ATMSG-Suggestion","I find they make it not so difficult and extensive.","suggests less complicated and shorter methodology than ATMSG","ATMSGNeedsSimplifying","ATMSGNeedsSimplifying"
"LOC220","Comment",,,,
"LOC220","Comparison01-EasierUnderstand","In my mind I think LM-GM easier to understand. Because it was not so difficult.","LMGM is simpler","LMGMSimpler","LMGMSimpler"
"LOC220","Comparison02-EasierApply","In my Opinion I think LM-GM easier to apply because it was not so extensive and you have given concepts and so on.","LMGM is simpler","LMGMSimpler","LMGMSimpler"
"LOC220","Comparison03-BetterUnderstanding","I think that SGADM is the better possibility to analyze the characteristics of the game because it is more extensive so that you have to think more about it.","ATMSG is more extensive so requires more thinking","ATMSGMoreDetailed","ATMSGMoreDetailed"
"LOC220","LMGM-Perception","No.",,,
"LOC220","LMGM-Suggestion","No.",,,
"LOC101","ATMSG-Perception","I could evaluate better the several tools used.","ATMSG helped the evaluation","ATMSGHelpful","ATMSGHelpful"
"LOC101","ATMSG-Suggestion","I think the methodology is right, but it was pushed too much. It would be more efficient if the decisions to take were less than how they are right now.","ATMSG needs to be simplified","ATMSGNeedsSimplifying","ATMSGNeedsSimplifying"
"LOC103","ATMSG-Perception","No the game doesn't change in how it perception. However, the perception of analyzing the game does change. Using the methodology could provide a framework to analysing the game rather than let the analyzer thinking by themselves.","?",,
"LOC103","ATMSG-Suggestion","Not at the moment, it is well defined.","ATMSG is well defined","ATMSGFillsObjective","ATMSGFillsObjective"
"LOC105","ATMSG-Perception","It helped me to understand more about the general structure of the game.","ATMSG helped understand game aspects","ATMSGHelpful","ATMSGHelpful"
"LOC105","ATMSG-Suggestion","I would make the graphics of the game and menus more easy to use. methodology in my opinion is not to change.","(misunderstood question)",,
"LOC106","ATMSG-Perception","My perception changed a bit, but not so much: the learning aspect is fully comprensible (?) from playing the game.","ATMSG was only marginally helpful","ATMSGNotSoHelpful","ATMSGNotSoHelpful"
"LOC106","ATMSG-Suggestion","Methodology should be shorter: some aspects are reduntant.","ATMSG needs to be simplified","ATMSGNeedsSimplifying","ATMSGNeedsSimplifying"
"LOC107","ATMSG-Perception","Direi di no (analizzare ogni singolo aspetto non credo migliori la percezione che ho del gioco)","? Misunderstood question?",,
"LOC110","ATMSG-Suggestion","No, ho trovato la metodologia presentata coerente con gli obbiettivi che si prefigge. ","ATMSG model fulfills its objective","ATMSGFillsObjective","ATMSGFillsObjective"
"LOC112","ATMSG-Perception","Sono riuscito ad identificare meglio la struttura del gioco. Sopratutto le relazioni 'cosa da imparare' <-> 'azione nel gioco'.","ATMSG model helped understand the connection between gaming and learning aspects","ATMSGHelpful","ATMSGHelpful"
"LOC112","ATMSG-Suggestion","I tre componenti Subject, Object, Tool coprano bene la situazione. Le definizioni più dettagliate sono a volte simili tra loto e a volte incomplete, si dovrebbe cercare di raggrupparle e integrarle.","ATMSG taxonomy needs to be reviewed","ATMSGTaxonomyNeedsRevision","ATMSGTaxonomyNeedsRevision"
"LOC113","ATMSG-Perception","Thanks to it I could consider some elements that I hasn't considered before","ATMSG made them think of new aspects about game","ATMSGHelpful","ATMSGHelpful"
"ONL101","ATMSG-Perception","Yes, the ATMSG model gave me the opportunity to analyze the game very well in its entirety.","ATMSG model helped analyze full game","ATMSGHelpful","ATMSGHelpful"
"ONL101","ATMSG-Suggestion","No, i think that this model works fine.","ATMSG model fulfills its objective","ATMSGFillsObjective","ATMSGFillsObjective"
"ONL101","Comment","This study is really interesting and exciting to follow. The models are very helpful to analyze the smart games in depht.","both models are helpful to analyze serious games","ATMSGHelpful, LMGMHelpful","ATMSGHelpful, LMGMHelpful"
"ONL101","Comparison01-EasierUnderstand","I prefer the LM-GM model because it's more graphical and intuitive.","LMGM is more graphical, LMGM is easier to learn","LMGMEasierToLearn, LMGMMoreGraphical","LMGMEasier, LMGMMoreGraphical"
"ONL101","Comparison02-EasierApply","In my honest opinion, the LM-GM model is easier to apply because I immediately understand  its behaviour.","LMGM is easier to understand/apply","LMGMEasierToUnderstand, LMGMEasierToApply","LMGMLowerLearningCurve, LMGMEasier"
"ONL101","Comparison03-BetterUnderstanding","The LM-GM model gave me a better understanding of the characteristics of the game that I've analyzed because it's very simply  to understand and apply.","LMGM is easier to understand/apply","LMGMEasierToUnderstand, LMGMEasierToApply","LMGMLowerLearningCurve, LMGMEasier"
"ONL101","LMGM-Perception","Yes, the LM-GM model allowed me to undestand the SG more deeply","LMGM helped understand the game more deeply","LMGMHelpful","LMGMHelpful"
"ONL101","LMGM-Suggestion","No, i think that's a very good model with a great implementation on the SG analysys.","LMGM is a good model, nothing to add","LMGMGoodModel","LMGMHelpful"
"ONL102","ATMSG-Perception","no",,,
"ONL102","ATMSG-Suggestion",,,,
"ONL102","Comment",,,,
"ONL102","Comparison01-EasierUnderstand","ATMSG","(this was a lazy answer and inconsistent with the quantitative ratings)",,
"ONL102","Comparison02-EasierApply","ATMSG","(this was a lazy answer and inconsistent with the quantitative ratings)",,
"ONL102","Comparison03-BetterUnderstanding","ATMSG","(this was a lazy answer and inconsistent with the quantitative ratings)",,
"ONL102","LMGM-Perception","No","LMGM did not add anything",,
"ONL102","LMGM-Suggestion",,,,
"ONL103","ATMSG-Perception","Not really. I found it to be a really complete descriptive model. This is both an advantage and a disadvantage: extended taxonomies actually helps but tend to limit the student (or who is doing the questionnaire) pushing him to find correct words in a very long list.  Comparing to the previous model I'd say this one has the exact opposite problem: too large boundaries","ATMSG did not change perception. ATMSG is very descriptive. ATMSG can be limiting by offering a very long list.","ATMSGNoChangePerception, ATMSGTooDescriptive, ATMSGIsLimiting","ATMSGTooDetailed"
"ONL103","ATMSG-Suggestion","Totally not. I will take a look at it further in these days: I recognized a lot of taxonomies and translated some of them (language barrier worked as a creativity fosterer in my humble opinion)","No suggestions for ATMSG; it fills its objective","ATMSGFillsObjective",
"ONL103","Comment",,,,
"ONL103","Comparison01-EasierUnderstand","LM-GM: the student is not blocked by the grat number of tables containing different taxonomies. Defining a direct relation between LM and GM is harder but it pays off","LMGM is easier to understand because user is not blocked by a large number of options. Harder and more useful to establish direct relationship between LM and GM","LMGMMoreFlexible, LMGMHelpful","LMGMInvitesMoreThinking, LMGMHelpful"
"ONL103","Comparison02-EasierApply","ATMSG. More terms, larger boundaries: less term-related barriers","ATMSG is easier to apply because of larger taxonomy","ATMSGLargerTaxonomy","ATMSGBetterTaxonomy"
"ONL103","Comparison03-BetterUnderstanding","LM-GM forced me to think outside of my comfort zone: less terms + easier task = harder choices.  I liked ATMSG since it feels more precise and complete but I'd try again LM-GM ending up problably hating it","ATMSG is more precise and complete, LMGM is harder to find the right choice","AMTSGMoreComplete, LMGMHardToFill","ATMSGMoreDetailed"
"ONL103","LMGM-Perception","It forced me to described game patterns through not really strict categories: it had a positiv feedback since It broke my usual mental-flow forcing me (counter intuitivly) to be precise. Now I feel like my opinion about the game is more precise BUT less easy to change","LMGM forced participant to be precise, now shaped his view of the game into something that is not likely to change","LMGMPromotePrecision","LMGMHelpful"
"ONL103","LMGM-Suggestion","A learning mechanic is something well defined, a game mechanic is a big cauldron which contains habits, 3d expression, animation, HC interaction and cognitiv schemes: the only tip I feel confident about is the only related to my field. Distinguish between game 'plans' such as 'linguistic' 'chromatic' 'interactive' trying to define them (an easy job you'll say!) clearly.   For example: i found that most of the role playing part of the game examined took part into the person-items referrals of the game. So although the main avatar is represented his intra-game world perception passed through small linguistical parts of each game phase.    ","LMGM should be more precise in defining game mechanics","LMGMNotGoodGameMechanics","LMGMTaxonomyNeedsRevision"
"ONL105","ATMSG-Perception","Yes, it shade some light in analyzing the game","ATMSG helped in analyzing the game","ATMSGHelpful","ATMSGHelpful"
"ONL105","ATMSG-Suggestion","No","No suggestions for ATMSG",,
"ONL105","Comment","Models are both quite complex and this study cannot reduce their complexity, thus resulting to be very heavy to be completed. It was very hard to find motivation to complete the questionnaire, and I feel I was superficial in some parts just to end.","Both models are complex. Study is heavy. Hard to motivate to complete the study, superficial answers in the end.","ATMSGComplex, LMGMComplex","ATMSGHard, LMGMHard"
"ONL105","Comparison01-EasierUnderstand","ATMSG. It has more relevant questions about the game.","ATMSG has more relevant questions","ATMSGBetterQuestions","ATMSGMoreDetailed"
"ONL105","Comparison02-EasierApply","ATMSG. It is more immediate answering this model's questions than associating elements like in LM-GM","ATMSG is easier to apply because the questions are more direct","ATMSGBetterQuestions","ATMSGMoreDetailed"
"ONL105","Comparison03-BetterUnderstanding","ATMSG definitively. It clarified the fondamentals of the serious game, on the contrary LM-GM gives only some associations without defining a structure of the game.","ATMSG gives better understanding of the game, LMGM gives associations but without defining the game structure. (This is an insightful comment)","ATMSGBetterUnderstanding, LMGMMoreSuperficial","ATMSGBetterUnderstanding, LMGMMoreSuperficial"
"ONL105","LMGM-Perception","Not very much","No change in perception with LMGM","LMGMNotSoHelpful","LMGMNotSoHelpful"
"ONL105","LMGM-Suggestion","No","No suggestions for LMGM",,
"ONL104","ATMSG-Perception",,,,
"ONL104","ATMSG-Suggestion",,,,
"ONL104","Comment",,,,
"ONL104","Comparison01-EasierUnderstand","ATMSG, more information","ATMSG gives more information","ATMSGMoreInformation","ATMSGMoreDetailed"
"ONL104","Comparison02-EasierApply","LM-GM, easy to use, more quicker than analyze with ATMSG","LMGM is easier and quicker to apply","LMGMEasierToApply, LMGMQuickerToApply","LMGMEasier"
"ONL104","Comparison03-BetterUnderstanding","LM-GM, because simplier overview of LM and GM in tables","LMGM gives a simpler (more useful) overview of the game","LMGMSimplerAndMoreUseful","LMGMMoreFocused"
"ONL104","LMGM-Perception",,,,
"ONL104","LMGM-Suggestion",,,,
